,conv_id,context,prompt,speaker_utterance,listener_utterance,valence_listener,arousal_listener,empathy,pred
91,hit:887_conv:1775,jealous,I felt really left out when my friends went to a theme park without me. It really bothers me that they didn't even tell me they were going. I really wish I could have gone,I have been friends with them for a long time_comma_ but I do not know they never even told me.,That is messed up.,0.0,0.0,2,1
93,hit:8818_conv:17636,furious,i was pissed when i saw my gate left open,i was pissed when i saw my gate left open,Oh? Did someone leave it open_comma_ or did someone break in?,0.0699999999999999,-0.2933333333333333,3,2
114,hit:6987_conv:13975,furious,my brothers house got broken into,he got everything back we found out who took it _comma_ we called the cops and they did not even arrest the lady since she allowed my brother to get his stuff_comma_ back she denied any involvement and the cops said she was cooperating ,thats good_comma_ my house was also broken in to,0.058,-0.3313333333333333,1,2
121,hit:1302_conv:2605,lonely,Laying in the hospital after having a mini stroke and the last visitor of the day says good bye is a very sad time.,I am 99% me  The hardest part of the hospitalization was at the end of the day when my last visitor would go home. I am not good at being alone.,Yup - I know that feeling. And it is always so hard falling asleep in those uncomfortable beds with an IV in your arm.,0.0057499999999999,-0.1795,1,3
124,hit:8151_conv:16302,disgusted,At work I have to take out the trash_comma_ and today one of the bags busted on the way to the dumpster. It was so bad! The smell was terrible.,Sort of. I would for a university food service umbrella group thing_comma_ but when I am at different locations that I have to bounce between I will take out their trash since they are understaffed.,That is sucks. I bet all that food smells.,0.0635,0.124,3,1
126,hit:10937_conv:21875,disgusted,I watched a woman being very disrespectful at the mall to another woman of color.,No. She just thought the other woman wasnt doing her job. Classic sense of entitlement.,Thats really annoying. It would be great if people would just let other people be.,0.046,0.0042857142857143,3,2
152,hit:5812_conv:11625,lonely,I have no friends at my new job.,Yes_comma_ and i eat lunch alone every day for a week. I feel extremely lonely!,i would also feel lonely,0.0299999999999999,-0.1733333333333333,2,1
176,hit:6290_conv:12580,angry,it makes me very unhappy when i let someone out in traffic and they dont acknowledge me,it makes me angry when i let someone out in traffic without being acknowleded,Do you honk your horn at them?,-0.066,0.145,2,1
189,hit:7344_conv:14648,disgusted,I was grossed out when I saw someone vomit outside a bar.,I was grossed out when I saw someone vomit outside a bar.,Drunk people can get pretty disgusting in general.,0.0926666666666666,0.1966666666666666,3,2
200,hit:11824_conv:23648,jealous,my brother buying the car i wanted,so my brother bought the car i had my eye on,Oh_comma_ what car was it? Are you jealous?,-0.0509999999999999,0.3949999999999999,1,2
205,hit:10207_conv:20415,joyful,The day I got married was the second best day of my life! It was beautiful! ,I just celebrated my 2 year anniversary! I have been reminiscing about my wedding a lot lately lol.,Nice_comma_ too bad I was not invited!,0.0549999999999999,0.067,3,1
206,hit:3057_conv:6114,annoyed,It really bugs me when telemarketers call my house.,It really bugs me when telemarketers call my house.,Oh me too. Have you ever messed with them?,0.0,0.0,3,1
219,hit:9468_conv:18137,caring,i loved taking care of my sisters pet,a bearded dragon,No way! They scare me :( Is it easy?,-0.022,-0.0806666666666666,3,1
228,hit:12236_conv:24472,disgusted,Last night I was in the basement and I saw a huge roach crawl under the washing machine. I shrieked because I hate bugs. Roaches give me the creepy crawlies!,Roaches give me the creepie crawlies. I will not go back in there until I bomb the house.,I do not blame you! Get them all!,0.0166666666666666,0.188,3,1
243,hit:6332_conv:12664,lonely,I went to the pool yesterday all by myself. Never felt so alone in the kiddie pool.,I went to the pool yesterday all by myself because my friends ditched me.,I am sorry_comma_ does that happen often?,0.0829999999999999,0.032,3,2
252,hit:9785_conv:19574,disappointed,Before signing the contract_comma_ the landlord made promises that he will do some reparations but he never kept his word.,I agree with you. I am looking to move now. I do not want to deal with him.,Do you have a lease?,0.04,-0.074,2,1
281,hit:7148_conv:14297,surprised,I unexpectedly received a parcel the other day,My Aunt.,What was it?,0.0,0.0,3,1
289,hit:9010_conv:18020,grateful,Today I was getting coffee and the person in front of me paid for my drink. I couldn't believe people would be so nice_comma_ I was so thankful because money has been tight. ,I will_comma_ you never know when someone else is in need! ,Kindness is infectious.,0.08,0.11,3,2
297,hit:4790_conv:9580,confident,I just drove from Northern California to Florida. I knew I could do it without a problem_comma_ and I was right. I'd done it before_comma_ in the opposite direction_comma_ so I knew I was capable of making such a trip.,It is not so bad really. You get used to it. If you remember to stop and stretch now and again you are ok. And there are some decent rest areas_comma_ some with free coffee!,Oh well that is a plu!,0.0,0.0,3,1
305,hit:1105_conv:2210,impressed,I am surprise about the economy nowadays.,I am surprise about the economy nowadays,How come?,0.058,-0.462,2,1
313,hit:2422_conv:4844,disgusted,I took out the trash yesterday and the bag burst all over the ground.,Yeah_comma_ it did once I cleaned it up. But it was pretty nasty when I had to do that. Garbage and possums were everywhere!,That seems pretty gross_comma_ especially the possums.,-0.068,0.0413333333333333,3,1
315,hit:8178_conv:16357,surprised,I found out recently that my sister is having a baby.,I found out the other day that my sister is pregnant.,is that a good thing or bad thing?,-0.0194999999999999,-0.2815,3,2
317,hit:2478_conv:4957,disappointed,MY sister got fired and just refuses to look for a job. ,What is worse is she refuses to look for work now,That is not good. Why is she refusing?,0.081,0.038,3,1
328,hit:659_conv:1318,afraid,I was walking around my mansion at night one cold day in October. I then heard spooky sounds_comma_ and saw the ghost of Michael Jackson.,"Some times at night_comma_ I can hear some shouting ""AHHHHHHH""_comma_ ""HEE HEE"". ",That is creepy. What do you think they were_comma_ hyenas?,-0.0115,0.2679999999999999,1,2
332,hit:10714_conv:21429,anticipating,I was expecting a important mail. ,It was not really really important. Maybe third-tier important.,Oh_comma_ then its okay,0.0,0.0,2,1
345,hit:10552_conv:21104,apprehensive,I was home alone when all the power went out. I heard a noise and didn't know what it was.,I was home by myself when the power went out and I heard a strange noise!,Oh_comma_ that sounds scary! Did you find out what it was?,0.0673333333333333,0.42,2,3
357,hit:2091_conv:4183,guilty,I swallowed a dozen ostrich eggs when I was hiking in the Outback of Australia the other day. I felt so bad for the little ostriches inside.,They do! I felt somewhat bad for all the little ostriches inside...but they tasted so delicious.,Are they expensive or did you just find them in the wild?,-0.0606666666666666,0.3446666666666667,1,3
361,hit:10761_conv:21522,ashamed,One time I embarrassed myself by getting a little too spirited and roughhousing with my friend. i ended up breaking my tailbon,ohhhh yeah_comma_ I was pretty embarrassed to say the least,That is unfortunate_comma_ but funny at the same time!,0.0633333333333333,-0.0766666666666666,3,1
375,hit:4145_conv:8294,jealous,All of my friends have nicer cars than I do. I think its because they are married. I want new friends,I am a bit envious of my friends,How come?,0.058,-0.462,3,1
384,hit:7629_conv:15259,hopeful,I hope I find a new job this week,I hope i find a new job this week,you been looking long?,0.082,-0.294,2,1
388,hit:3062_conv:6124,afraid,I am really worried that I will miss my flight tomorrow.,I am really worried that I will miss my flight tomorrow.,I always worry about that too. Is it early in the morning?,0.044,-0.0773333333333333,3,2
390,hit:5887_conv:11774,afraid,someone trying to harm me,yesterday a stranger tried to rob me ,Oh wow! Are you okay?,0.0,0.0,3,1
401,hit:11414_conv:22828,disgusted,My favorite team blew a big lead in the playoffs.,I hate when teams choke. It makes me sick.,yea me too it sucks,0.095,0.118,3,1
410,hit:1912_conv:3825,angry,I called a pizza delivery today_comma_ and the guy that took my order_comma_ was so rude...,I ordered a pizza today_comma_ but it really was not a pleasant experience.,Oh no_comma_ why not?!,0.0,0.0,3,2
414,hit:3134_conv:6269,annoyed,I am super aggravated at people that just can't let things be peaceful. Even if you disagree..what is so hard about just being nice and letting it still not get ugly?,I am super aggravated at people that just cannot let things be peaceful. Even if you disagree.,That makes me mad too,-0.097,0.293,3,1
420,hit:8866_conv:17733,annoyed,My brother has developed a habit of prank calling me. Occasionally it is funny but most of the time just bothersome.,Yea_comma_ occasionally it is funny but most of the time it is bothersome.,That would be bothersome_comma_ especially if it is taking away from your time.,0.0969999999999999,-0.3,2,3
421,hit:1146_conv:2292,grateful,I was having such a hard day and I was so thankful for my husband coming home to help out with the kids.,I have been sick and it is been hard to take care of my 3 kids during the day. My husband came home early from work to help out_comma_ I am so thankful for him.,Being sick does stink at times. But at least your husband is there to assist when in need.,-0.0453333333333333,-0.0969999999999999,2,3
465,hit:2872_conv:5744,confident,When I was taking my pilot's exam_comma_ I was sure I had it in the bag_comma_ but the examiner end up failing me.,Least year I took my final performance exam for my pilot's license. I thought it was going to be easy. I was wrong.,Oh man I bet that is a very difficult test. I cannot believe how many instruments are in a cockpit!,-0.0226666666666666,0.0763333333333333,2,3
469,hit:11101_conv:22203,apprehensive,I was anxious when applying for collage_comma_ I was unsure if I knew which classes I wanted to take.,I am sure I will not feel out of place_comma_ but I get anxious with so many options for a degree.,What are your favourites options? ,0.024,-0.146,3,1
475,hit:7774_conv:15549,furious,i hate sitting around doing nothing. it drives me nuts to do nothing at work when i have a million things to do at home,i do other things in my down time but as soon as i get started on something else there is always something to interupt,I am sorry. What type of job do you do?,0.0666666666666666,-0.2086666666666666,3,2
494,hit:462_conv:924,hopeful,I need a raise from my job. I am waiting for one in the next review. ,I have been working so hard and it seems my payment can no longer take care of my bills ,This has to be a very stressful time for you. How are you holding up?,0.0135,-0.107,2,3
498,hit:3662_conv:7325,apprehensive,One time_comma_ my friends were daring me to jump into a cold spring with them from a height of like 40 feet. I was a bit nervous to say the least.,One time_comma_ my friends were daring me to jump into a very cold spring from a height of around 40 feet. I was nervous_comma_ naturally.,I would be too! Did you to it?,-0.014,-0.176,2,1
503,hit:2504_conv:5009,devastated,I was shocked when the Lakers got lebron,nah .. just couldnt believe it,Was he supposed to sign with another team?,0.0826666666666666,-0.12,3,1
517,hit:9705_conv:19411,sad,I miss my Grandma. She died when I was a kid. ,I miss my Grandma. ,What happened to your grama?,0.0,0.0,2,1
521,hit:3217_conv:6435,terrified,Someone broke a window in my side yard today. I don't know when_comma_ I assume I was gone as my dogs wouldv'e went nuts. I live in a bad neighborhood and it's late so I am still up a bit scared about it.,We are so far but I live in a bad neighborhood and it is late so I am still up a bit scared about it.,I would be too,-0.014,-0.176,3,1
525,hit:6281_conv:12562,lonely,I went to the park all alone. It was quite depressing.,I went to the park all alone. I was quite depressed.,I hear you! I am in that boat too! It can be very hard to be alone a lot,0.0805714285714285,-0.3088571428571428,2,3
528,hit:9980_conv:19960,furious,I was so angry when the pizza delivery guy forgot half of our order. He was already over an hour late!,Yeah_comma_ and he was not sorry about being over an hour late! We just cancelled the other part of the order.,I would have taken that pizza out of the box and smack him upside the head with it. What a lousy guy!,-0.0282857142857142,-0.1531428571428571,1,3
538,hit:8266_conv:16533,caring,My mom and dad went to abroad. So my sister is helping me to go school and she is taking care of everything in our home.,My parents went to abroad.,Where did they go?,0.02,-0.118,3,1
558,hit:3399_conv:6798,caring,No matter how much we fought with my siblings_comma_ I am ready to be there for them_comma_ if they need me.,Yes_comma_ you are right_comma_ but we still need to forgive.,I understand. You were the only one getting hit?,0.0246666666666666,0.0646666666666666,1,2
569,hit:6670_conv:13341,hopeful,I entered a writing contest. I knew it would be wonderful if i won. I really wanted to win and thought I might have a good chance. I was excited about it. ,I entered a writing contest. I thought I might have a chance to be a finalist. I was excited. ,Oh boy_comma_ how did it go?,0.02,-0.118,3,2
572,hit:11815_conv:23630,apprehensive,I was starting a new job and could not sleep the night before. I was feeling extremely anxious about the decision to change jobs.,I was starting a new job and could not sleep the night before. I was feeling extremely anxious about the decision to change jobs.,Did you ease your nerves?,-0.075,0.083,2,1
586,hit:12137_conv:24275,terrified,I am going on my first roller coaster ride at Universal Studios next week and am scared out of my mind!,I am going on my first roller coaster ride at Universal Studios next week and am scared out of my mind!,I have never been on a roller coaster. I would be very scared too.,0.0116,0.1244,1,2
612,hit:9706_conv:19413,afraid,Before my final exam on of the semester. I needed a 90% to pass.,Just scared about my exam.,Why is that?,0.0,0.0,1,2
626,hit:11014_conv:22029,sad,I can't stop thinking about my dog that died a year ago this week.,I cannot stop thinking about my dog that died a year ago this week.,Aw I am so sorry to hear of your dogs passing. It is hard to lose a pet. We just lost our cat this year.,0.0056,-0.1262,2,3
636,hit:8627_conv:17254,jealous,It seems everyone in my family has a big house_comma_ except us.  It bothers me sometimes but then I also realize that we don't have the debt they all have either.,Well_comma_ it does bother me sometimes_comma_ but then I also realize we do not have the debt they have eihter.,And that is the best part. Many of those folks with nice houses have mountains of debt. It causes a lot of stress.,0.0928888888888888,-0.1722222222222222,3,1
637,hit:6065_conv:12131,afraid,I was worried about driving home tonight. A lot of people were swerving,I was worried driving home tonight. People were swerving all over,Uhoh. be careful_comma_ there are some bad drivers out there.  Especially with people playing on their phones while driving,-0.0146666666666666,0.0223333333333333,2,3
647,hit:867_conv:1735,embarrassed,When my daughter flipped out in the store. everyone stopped,My daughter had a complete meltdown the other day inside of the store.,Been there. Done that.,0.0,0.0,2,1
655,hit:12358_conv:24716,apprehensive,I felt uneasy as I looked at the looming rollercoaster. ,We went to Six Flags yesterday and I felt so uneasy as I looked at the looming rollercoaster.,Which Six Flags did you go to?,0.0679999999999999,-0.3513333333333333,2,1
657,hit:7405_conv:14810,sad,A day before yesterday_comma_ my cat died. I was very very sorrowful.,you are right. I was very very sorrowful and nostalgic that day. And even now,The pain never really goes completely away_comma_ but it does get easier to deal with.,0.0844,0.1076,3,2
659,hit:3044_conv:6089,afraid,I am sometime to afraid to speak in public_comma_ for example_comma_ during meeting at work.,Thanks. I am trying to work on this issue and be able more easily speak in public.,I honestly started taking cbd oil by charlottes web_comma_ and my anxiety went away after a few days of using it,-0.0154999999999999,-0.0885,2,3
663,hit:9813_conv:19627,afraid,I am scared of horror movies_comma_ I never could tolerate them,I am scared of horror movies_comma_ I never could tolerate them,Me too!  I used to be able to watch some when I was younger but then I realized I was torturing myself because I hate them!,-0.0512,-0.1224,2,3
665,hit:7828_conv:15657,joyful,I remember a while back_comma_ being in Scotland for a while_comma_ and being so happy to be flying to California to see my then boyfriend. I hadn't felt so happy in years!,I remember being in Scotland and arranging a trip to California to see my then boyfriend. I was so very happy to be seeing him again!,I bet! Is it hard to have a long distance relationship?,0.0283333333333333,0.0103333333333333,3,1
676,hit:9675_conv:19351,afraid,I started bleeding when I poo.,I started bleeding when i poo.,Have you gone to a doctor about it yet?,-0.0079999999999999,-0.239,3,1
687,hit:10270_conv:20541,ashamed,I dropped soda loudly in the library,The spilled soda echoed so loudly  in the library it was embarrasing,Oh no! Hopefully you did not get too many nasty stares!,-0.0693333333333333,0.0959999999999999,3,2
693,hit:10703_conv:21407,caring,I volunteered to babysit my neighbor's children.,I volunteered to babysit my neighbor's children.,How did it go?,0.02,-0.118,1,2
697,hit:568_conv:1137,trusting,when I left my friend cut my hair,I let my friend cut my hair_comma_ with no training,How did that wind up going for you?,0.062,-0.192,3,2
729,hit:8292_conv:16584,furious,I was pulling into the gas station and this kid felt the need to not only almost hit me but also call me extremely awful names.,No!  I got so flustered and kind of paniked.  ,Its horrible to have to got through things like thaty,-0.0019999999999999,-0.0895,3,1
742,hit:4264_conv:8528,disappointed,I got very upset when France won the world cup. Croatia should have won!,Have you seen fifa world cup final?,No I have not,0.0,0.0,2,1
754,hit:8598_conv:17197,surprised,Received a sweet check in the mail the other day!,I went to check the mail the other day,What was in there?,0.0,0.0,3,1
758,hit:7242_conv:14484,excited,All of my online packages finally were delivered.,I came home to find all of my online shopping at my front door.,Were you excited or annoyed that the driver left them there?,-0.0405,0.311,1,2
767,hit:8187_conv:16374,trusting,My girlfriend will be working abroad for 4 years. She's the only female in her team.,My girlfriend will be working abroad for 4 years. She is the only female in her team.,Ouch... I would have to admit that it would make me a tad nervous.,-0.0326666666666666,-0.0909999999999999,3,2
786,hit:10187_conv:20375,confident,I had a job interview one time that was very important for me! I prepared as best I could and wen!t in to the interview feeling great about it.  I truly felt I would ace it,I had a job interview that was very important to me once,Did you go for the interview?,0.0829999999999999,0.211,3,1
811,hit:4445_conv:8891,angry,I am not happy that I will not be able to attend the Kentucky Derby this year.,I am not happy that I will not be able to attend the Kentucky Derby this year.,oh really whys that?,0.0,0.0,1,2
815,hit:8437_conv:16875,lonely,My husband had to go out of town for work this week. It's just me and the kids here.,My husband had to go to a conference for the entire week all the way across the country.,Where did he end up flying too?,0.075,-0.045,3,1
836,hit:10942_conv:21885,trusting,I met a cow the other day and I went to go pet her. Something inside me told me to get away. Later that day the owner told me to stay away from her because she is known to attack people.,I met a cow the other day and I went to go pet her. Something inside me told me to get away. Later that day the owner told me to stay away from her because she is known to attack people.,You are lucky the cow did not hurt you.,-0.0193333333333333,0.0753333333333333,3,1
886,hit:8597_conv:17195,sad,I am so upset I lost my phone while doing errands today.,I cannot believe I lost my phone today while running errands.,Oh no_comma_ that is the worst.,0.0,0.0,3,1
889,hit:1729_conv:3458,proud,My daughter made the honor roll at school. She worked really hard this semester.,My daughter made the honor roll at school. She worked really hard this semester,That is great1,0.0,0.0,2,3
890,hit:1170_conv:2340,apprehensive,I am on the fence about pursuing a promotion opportunity at my work.  I am nervous that I may not interview well.,I hope so.  I guess I am just fearful of rejection.,We all are.,0.0,0.0,2,1
953,hit:12040_conv:24080,afraid,I had to work late the other night and had to walk out to my car alone. It was very dark outside.,I had to work late the other night and had to walk outside to my car alone.,I imagine that would be a bit unnerving. It being dark and anything being possible.,0.026,-0.2335999999999999,2,1
960,hit:18_conv:37,furious,I ordered for French fries _comma_bit was served burger_comma_that pissed me off!,I could not tolerate the waiters insensitivity_comma_that's poor service indeed!,What happened?,0.0,0.0,3,1
963,hit:4315_conv:8631,surprised,I can't believe that Robin Williams died.,I cannot believe that Robin Williams died.,I know. It was so shocking and sad.,-0.088,0.0313333333333333,3,2
965,hit:5837_conv:11675,afraid,A man was chasing after me because I did not give him money.  I was scared for my life.,A man was chasing after me because I did not give him money.,did he catch you,0.062,-0.126,2,1
968,hit:9853_conv:19706,faithful,There were things in my life that can only be described as the work of higher power.,Some things in my life can only be described by word - providence. ,What does providence mean?,0.062,-0.24,3,1
972,hit:1565_conv:3131,afraid,We had a bad storm and the power was out for hours during the night.,We had a bad storm and the power was out for hours during the night,It just started storming here. I hope we do not lose power.,0.0784,0.1931999999999999,3,2
973,hit:7049_conv:14099,joyful,My Vacation is coming up_comma_ looking forward to it. i am very happy getting these leaves,Ireland_comma_ land of castles.,Oh I am so jealous! I bet that place is beautiful!!,0.003,0.2139999999999999,3,1
975,hit:8616_conv:17232,ashamed,My daughter went on a mission trip in an area that is really depressed.  She came home with lice.,My daughter went on a mission trip to an area that is really depressed.  She brought something extra back home with her though.,What did she bring back?,0.073,-0.187,2,1
991,hit:7279_conv:14559,angry,i was pissed when i saw someone put a dent in my door,yea .. people do not care about other people's property anymore,Nope! Try paintless dent repair. Its not too pricey and quick fix.,0.0989999999999999,0.159,2,3
995,hit:8361_conv:16723,annoyed,My grandma threw out my high school yearbooks. I am not overly nostalgic about high school or anything but it made me kind of mad_comma_ they can't be replaced.,My grandma threw away my high school yearbooks.,That is awful! I hope that she did not mean too!,-0.048,0.0466666666666666,3,2
1004,hit:4717_conv:9434,prepared,I was prepared for tonights big dinner,I was prepared for tonights big dinner,Where is it gonna be at?,0.0,0.0,2,1
1029,hit:6913_conv:13827,hopeful,I am applying to graduate school and I am feeling this way about getting accepted.,I am applying to grad school and I hope to get accepted.,do you have to pass the gre?,-0.02,-0.312,3,2
1030,hit:3731_conv:7462,apprehensive,I was having a test today. This one was for my graduation.,I had a test today and was very nervous about it.,how did it go?,0.02,-0.118,3,2
1039,hit:10694_conv:21388,faithful,One time I wanted to eat at Burger King_comma_ but then I remembered that I was loyal to Mcdonalds,One time I wanted to eat at Burger King_comma_ but then I remembered that I was loyal to Mcdonalds,I hate burger king! McD's all the way,-0.0619999999999999,0.1675,1,2
1047,hit:5091_conv:10183,ashamed,I eat ice cream every time my kids take a nap. That way I don't have to share,I eat somethig sweet like ice cream. I do not let them have it lol. Its bad,Bad or Genius? ,0.003,0.292,1,2
1062,hit:7439_conv:14879,furious,The time my brother decided to spend his Christmas money on alcohol. He disappointed the family.,Spent all his christmas money on booze!,OH no. Does he have a problem?,-0.0873333333333333,-0.0873333333333333,3,1
1085,hit:6026_conv:12053,content,I started a new book_comma_ and I like it. I feel like I made the right choice_comma_ and I'm happy with the book.,It usually takes me so long to pick out a new book to read_comma_ but I really like the one I have started.,What is it about?,0.0,0.0,3,1
1109,hit:2844_conv:5689,sad,When I had to give away my dog Omar_comma_ it was sad. The place I was going did not allow animals,I was sad when I had to give away my dog. The place I was going to did not allow animals,It is hard to make this decision ... I am sorry ... What is your pet's name?,0.0443999999999999,-0.08,2,3
1111,hit:4204_conv:8408,excited,I'm super excited to move,It is time to move!,Oh_comma_ OK!  WHere are you moving to?,-0.042,0.346,3,1
1123,hit:1428_conv:2856,hopeful,I got a new job. There's so much debt I want to clear off.,I got a new job. There is so much debt I want to clear off,Is it a well paying one?,0.084,-0.416,2,1
1129,hit:70_conv:140,faithful,My friend's boyfriend got into an accident 5 years ago. She's still with him.,My friend's boyfriend got into an accident 5 years ago. She is still with him.,What happened to him? How are they doing?,0.0,0.0,3,1
1133,hit:8174_conv:16348,furious,The time my teacher gave me the wrong marks back for a test. It was a math test.,I studied for a week_comma_ it was my final exam.,I bet you put a lot of effort into it. Maybe you could talk to him and plead your case to get him to reconsider.,0.0575555555555555,-0.035111111111111,2,3
1134,hit:7938_conv:15877,embarrassed,I was doing a morning jog the other day and I ended up stepping in some dog poop. I wasn't paying enough attention to my surroundings.,I was doing a morning jog the other day and I ended up stepping in dog poop.,Uggh_comma_ what a buzzkill.,0.0,0.0,2,1
1157,hit:11985_conv:23970,terrified,One night my children and I came home and came in through the back door. As I opened it_comma_ I saw a tall shadow in the hallway! It scared me so much_comma_ as I feared an intruder was in my home.,One night when my kids and I came home_comma_ I saw a shadow in my hallway as I came in the back door. I was so scared and was afraid someone had broken in my home.,In some ways that is a bit funny but it certainly can be a scary time to come home alone to an empty dark house.,-0.025,-0.3171666666666666,1,3
1163,hit:12032_conv:24065,hopeful,I invited my best friend to my party. She has a busy schedule and promised to come.,I invited my best friend to my party even though she has a very busy schedule.,Did she end up being able to go?,-0.004,-0.1399999999999999,3,2
1164,hit:11050_conv:22101,prepared,I had to get my tag renewed last week as well as change my currect address. I had to make sure I had all the proper requirements.,It was but I found everything I needed before going. Too bad it always takes so long at those offices.,Yes it does. The DMV has the longest wait times. You go in first thing and already have a 45 minute wait from the get go.,0.0035999999999999,-0.313,1,2
1167,hit:1329_conv:2658,angry,I got a notification that I had a package delivered. I didn't see it on my porch and found it sitting in the middle of my driveway!,I did_comma_ they left it sitting in the middle of the driveway so it could get run over!,Oh_comma_ that is bad. Was there anything important in it?,-0.0479999999999999,0.255,1,3
1177,hit:3646_conv:7292,proud,My son got a perfect SAT score,My son scored a perfect 1600 on the SATs!!,Wow_comma_ you must be proud! He might cure cancer next!,0.0425,0.0765,2,3
1179,hit:8841_conv:17682,surprised,I found a big web in my bathroom window one day. I generally don't like spiders but I don't like to harm anything (unless its miquitos or fleas)..so I know have a bathroom spider. He weaves beautiful webs..but he does scare me when he comes out.,I found a big web in my bathroom window one day. I generally do not like spiders but I do not like to harm anything (unless its mosquitos or fleas).,Yikes. Did you ever find the spider?,0.003,0.124,2,1
1190,hit:4033_conv:8066,angry,i was upset when i saw someone had dented my car door,no i was at the store for a few hours so i wasnt able to catch the person,That is too bad. Maybe they could check security cameras for you.,0.0625,-0.0875,2,3
1207,hit:2155_conv:4311,apprehensive,I was not sure what to think when I changed schools. I was just not sure how it would go,It went well but I did not know that going in,We all get nervous about changing our surroundings,0.0729999999999999,0.1645,3,1
1210,hit:1192_conv:2385,terrified,I was scared the first time walking on ice. I did not want to fall in,I was scared the first time walking on ice on the pond. I did not want to fall in,How old were you? That can be dangerous_comma_ you hear stories of people falling in all the time.,0.0014285714285714,0.0114285714285714,2,3
1235,hit:6028_conv:12057,disgusted,I found a long grey hair in my sand witch this afternoon when I went out to lunch. It was gross.,I found a long grey hair in my sand witch this afternoon when I went out to lunch.,Was it yours?,0.0,0.0,3,1
1267,hit:7428_conv:14857,apprehensive,I had to have a medical test done about a month ago. I waited for two weeks for the results and it was so nerve-wracking.,I had to have a medical test done about a month ago - all was fine but geez!,That sounds hard,0.067,0.3309999999999999,2,1
1273,hit:6879_conv:13759,ashamed,I was taking a bowl of ravioli down the 3 or 4 steps to my dining room and fell and spilled ravioli all over me,Our dining room is just a few steps down from the kitchen_comma_ so I made me a bowl of ravioli and fell down the 3 steps somehow. I got ravioli all over me.,Wow_comma_ are you ok?,0.0,0.0,3,1
1283,hit:1556_conv:3113,ashamed,I feel so guilty. I cheated on my husband.,I feel so guilty. I cheated on my husband.,Oh no_comma_ what happened to cause the cheating?,-0.062,-0.254,3,2
1286,hit:1755_conv:3510,grateful,I've had some difficult times_comma_ and feel glad to have friends and family to help me. ,Definitely_comma_ I think we all need to support each other better in this world. ,Exactly,0.0,0.0,3,1
