,conv_id,context,prompt,speaker_utterance,listener_utterance,empathy,pred,empathy_red
720,hit:3290_conv:6580,anticipating,I am so ready for Thanksgiving.,No_comma_ I always go to my mother's house.,Does your Mother's house have any animals?,1,1,1
724,hit:5789_conv:11578,lonely,Why don't I have a woman by my side at 46? ,Yes I am buddy. I hope the loneliness does not kill me ,I hope not. Try to have an enjoyable life regardless,1,1,1
740,hit:5233_conv:10467,excited,I am having a bonus this year. I am so happy. I can't wait to see on my bank account.,I am planning a trip to Cuba. I was told it is a nice place.,oh thats cool,1,1,1
762,hit:6158_conv:12317,angry,I hate when i let someone out during traffic and they dont acknowledge me at all,i was sitting in traffic today and let a person out_comma_ didnt wave or anything_comma_ that junk makes me so mad,At least you tried to be nice,1,1,1
772,hit:8281_conv:16562,excited,I was much surprised to receive a hike in my salary.,Yeah. It makes me surprised.,Put it to some good use.,1,1,1
800,hit:7392_conv:14785,disgusted,I opened the back door to let my dog out and a giant roach tried to fly in the door.,He did but I killed him.,Dang. You sure told him!,1,1,1
807,hit:3374_conv:6748,sad,I remember feeling not quite right a day ago_comma_ but as day progressed I felt better.,I was not feeling right a few days ago_comma_ but I guess I am alright now.,I did a research on a cancer vaccine  ,1,1,1
822,hit:11485_conv:22970,angry,fell on my keys,im so mad i fell,Oh no! Are you okay?,1,1,1
843,hit:578_conv:1157,afraid,I was alwals terrified about the unknown,Some stories terrifies me,Well then avoid the stories that scare you.,1,1,1
844,hit:12192_conv:24385,angry,A few weeks ago my 3 year old broke my favorite eyeshadows.,Yeah_comma_ I should have probably put it in a safer spot. Oh well.,Did they take anything valuable?,1,1,1
860,hit:1214_conv:2429,guilty,I said that I was going to exercise more. I haven't done anything.,Terrible. I have literally done nothing.,hahaha I have been that way too.,1,1,1
877,hit:128_conv:256,proud,I got to a really high level in a video game.,Do you play Madden often?,Yes_comma_ every day.,1,1,1
881,hit:5782_conv:11564,guilty,i felt bad when i couldnt get my daughter the gift she wanted,i felt bad when i couldnt get my daughter the gift she wanted,i would have also. we always want to give our kids the best,1,1,1
899,hit:6574_conv:13149,devastated,I saved up for so long to buy my car. 5 days after I got it_comma_ it was totaled when someone hit it in a parking lot.,It was a mustang_comma_ but 5 days after I got it_comma_ it was totaled when someone hit it in a parking lot,Did you get an insurance check?,1,1,1
955,hit:6514_conv:13029,lonely,I have nobody to share the joys of my life with,I have nobody to share the joys of my life with,That must be lonely. Do you try to make friends?,1,1,1
971,hit:5468_conv:10936,disgusted,i was driving down a back road to work and there was a dead skunk,i was driving down a back road to work and there was a dead skunk,Whoa_comma_ did it stink? Was it roadkill?,1,1,1
978,hit:10050_conv:20101,caring,I think that in the past i have spent time caring about things that aren't important.,Money mostly. I just wish i could have enough of it to be set for life.,Of course_comma_ but that is certainly not the most important thing in life_comma_ I hope you realize now.,1,1,1
997,hit:8821_conv:17643,terrified,I hadn't been to an amusement park until very recently_comma_ so I was excited to ride the rollercoasters. I didn't realize until I was on it; how do people this this is fun! I was terrified the whole way.,I finally went on my first rollercoaster since I have never been to an amusement park. What is the deal with rollercoasters?! How is that fun_comma_ that is not fun_comma_ that is scary!,It is scary yet exhilarating lol,1,1,1
1002,hit:591_conv:1183,excited,I met Elton John at one of his concerts because I brought him flowers to the stage.,I met Elton John at one of his concerts because I brought him flowers to the stage. Not an easy task.,Who is he to you?,1,1,1
1009,hit:9316_conv:18632,grateful,I am really appreciative of my coworker. My coworker has my back in case I cannot make up some work.,My coworker is a good person. I am really appreciative that I can depend on them.,thats quite nice of them,1,1,1
1012,hit:4465_conv:8930,jealous,my husband doesn't seem interested in me anymore.  I think he may have eyes for someone else.,yes i do?,Have eyes for someone else,1,1,1
1015,hit:11660_conv:23320,afraid,I heard a loud bang in the middle of the night. ,I heard a loud bang in the middle of last night and it woke me up.,was it a gunshot?,1,1,1
1028,hit:9122_conv:18244,hopeful,i hope to win the lottery this friday,230 million,That is a whole lot of money!,1,1,1
1045,hit:5991_conv:11983,ashamed,I went to the store and took a small bunch of bananas without paying for them.  I feel really bad about it.,I went to the store and took a small bunch of bananas without paying for them.  I feel really bad about it.,Have you thought about telling the store?,1,1,1
1065,hit:1993_conv:3986,grateful,My wife gave me a gift for christmas,Yes a friend too,but what about?,1,1,1
1080,hit:8885_conv:17770,afraid,My brother is getting out of jail next week. I'm afraid that he knows that I'm the one that turned him in...,My brother is getting out of jail next week.,Well you must be happy about it.,1,1,1
1088,hit:2225_conv:4450,embarrassed,I was mortified when my pants ripped while getting out of my car,I luckily had a sweatshirt I could put around my waist but I had to be really careful!,how long did you have to stay that way.,1,1,1
1097,hit:6813_conv:13626,sad,My girlfriend broke up with me recently. Things just didn't seem to work out,My girlfriend broke up with me recently,That is one of the hardest parts of life. What happened??,1,1,1
1104,hit:1088_conv:2176,hopeful,I pray I pass the bar exam next week.,No I take it next week.,Oh my!  I wonder if things have changed since 15 years ago.   How is the studying going?,1,1,1
1120,hit:9618_conv:19237,surprised,A co-worker of mine was fired at our work. He seemed to be doing a good job though in terms of performance,A co-worker of mine was fired at work,Do you think they deserved it?,1,1,1
1137,hit:274_conv:541,ashamed,I cheated on my boyfriend one time. I highly regretted it.,I cheated on my boyfriend once.,Did you tell him_comma_ or did he find out?,1,1,1
1140,hit:2940_conv:5880,disgusted,I had eggs for breakfast this morning. I don't think I cooked the eggs enough and the yolk was raw_comma_ I felt like vomiting.,I could have gotten sick. It was so disgusting..,I have done it before so I feel your pain.,1,1,1
1143,hit:9463_conv:18926,terrified,I heard a loud bang outside my house last night and thought someone was trying to break in.,I heard a loud bang outside my house last night and thought someone was trying to break in.,Did you find out what it was,1,1,1
1159,hit:10381_conv:20763,grateful,I really needed some help to get ready for my Moms birthday. I was so thankful that my nieces came to the rescue.,They are good kids. I did not even have to ask_comma_ they just showed up ready to help.,Thats nice of them,1,1,1
1165,hit:5309_conv:10619,embarrassed,At dinner the other day I spilled a whole glass of water all over the whole table and on myself.  The whole restaraunt looked over at me.,I hate causing a scene and being the center of atention.  its the worst,Did something happen to you?,1,1,1
1183,hit:5152_conv:10304,anticipating,I could not wait for last weekend. We were going to a game,It was very fun,thats cool,1,1,1
1188,hit:7440_conv:14880,ashamed,When I scored a low mark on my calculus test. I scored a 50%.,Cannot believe how awful I scored on that test.,Did you study?,1,1,1
1212,hit:4473_conv:8946,disappointed,My cat vomited on my shoes the other day,yea i was so annoyed he did that_comma_ i thought he knew better,Maybe he had some bad food,1,1,1
1216,hit:2259_conv:4519,confident,I was pretty sure I was going to get a good grade on my paper,I was pretty sure I was going to get a good grade on my paper,"""was"" pretty sure ?",1,1,1
1231,hit:960_conv:1921,annoyed,I was returning an item at a store and the person in front of me had a whole cart of items to return and was taking forever.,No. I think I was more bothered by the fact that they did not open up another line.,Did you say something to the clerk?,1,1,1
1241,hit:7476_conv:14953,furious,I ordered a pizza tonight. When it got here it didn't have cheese on it.,Terrible_comma_ I mean who forgets to put CHEESE on a pizza? ,that makes no sense lol,1,1,1
1257,hit:6625_conv:13251,anticipating,I can't wait for the new call of duty game. The beta starts today,The new call of duty game doesnt come out until october,I see. I used to play this game along with Battlefield in the past when in college. Now_comma_ I only FIFA only_comma_ others do not interest me much,1,1,1
1268,hit:6608_conv:13216,embarrassed,I farted loudly at Jc Penny last weekend and the cashier heard me_comma_ thought she wasn't there ,very_comma_ i apologized but she seemed embarresed for me,Have you been back since ?,1,1,1
1281,hit:10419_conv:20839,annoyed,I was angry at my friend's attitude towards me,They dont worth my time,Sure your worth your time. do not be so down on yourself.,1,1,1
1289,hit:10722_conv:21444,guilty,I showed some photos my girlfriend sent me to a friend when they were supposed to be private,man I feel kind of bad for something that I did,What did you do?,1,1,1
1298,hit:8170_conv:16341,prepared,I always like to be ready before a trip.,I like to be prepared for a bit trip beforehand.,what do you do to get prepared,1,1,1
1303,hit:2310_conv:4621,surprised,There were 6 kittens in front of my doorstep this morning.,There were 6 kittens in front of my doorstep this morning.,Are you keeping them?,1,1,1
1317,hit:10604_conv:21209,prepared,I have all my kids' things ready for the first day of school tomorrow!,I have all my kids' things ready for the first day of school tomorrow!,Good think you are prepared,1,1,1
1347,hit:9939_conv:19879,excited,Going to the beach this weekend,So excited for this weekend!,Then why are you excite about it?,1,1,1
1358,hit:2518_conv:5037,surprised,I was in shock when I saw an accident. It was a car accident on the highway.,I was in shock when I saw a car accident on the highway.,was everyone ok?,1,1,1
1366,hit:6367_conv:12735,confident,While out on our second date_comma_ my current girlfriend and I stopped at a dive bar. They had a pool table_comma_ and I showed her some of the basics. Then I really let loose and she said later that she was impressed.,On our second date_comma_ my girlfriend and I stopped in a dive bar on our way back from the beach.,what is a dive bar,1,1,1
1373,hit:9904_conv:19809,confident,Have a job interview coming up.  I think i'll do great,Yeah more money.  Same job.  Different location.,Ahh_comma_ maybe you can ask your boss for a raise instead? Haha,1,1,1
1392,hit:2399_conv:4799,surprised,I was about to go to bed when I received a phone call. It was my mother in law who I hadn't talked to in awhile_comma_ and she had interesting news.,I was about to go to bed when my mother in law called with the shocking news that my sister in law was pregnant.,Why is it so shocking?,1,1,1
1413,hit:5212_conv:10424,nostalgic,Lightning storms always remind me of you.,We had a night that was unforgetable.,That does sound fun,1,1,1
1433,hit:4777_conv:9554,apprehensive,I felt a bit taken back to actually move out of my parents house,I relied on them for everything_comma_ I was scared to move out,Did you ever move out?,1,1,1
1440,hit:11964_conv:23928,nostalgic,I wish they would bring back VCRs.,I wish they would bring back VCRs.,I know. Those were the days. ,1,1,1
1477,hit:636_conv:1272,furious,Someone tried to take my computer when I wasnt looking the other year_comma_ super annoyed by that.,I yelled at them and told them to leave.,k good_comma_ here after becareful with them,1,1,1
1478,hit:7194_conv:14388,ashamed,I just ate a whole pack of cookies,Yeah - but they tasted really good,def worth it,1,1,1
1492,hit:426_conv:852,devastated,When I found emails between my ex wife and the person she was sleeping with behind my back.,It is funny how you can be going through life thinking everything is great_comma_ and then one day you find a nude of another dude that is not you on your wife's computer. Makes for a wonderful day!,yes_comma_ i understood the first time.,1,1,1
1495,hit:6382_conv:12765,guilty,I left my friend at the bar the other night.  I feel so ashamed about it.,I left my friend at the bar the other night.,Was your friend drunk?,1,1,1
1516,hit:6572_conv:13145,guilty,I stole my brothers copy of Purple Rain.,Yes_comma_ he was the best musician ever.,Well give it back :) Stealing is not right,1,1,1
1525,hit:8442_conv:16885,surprised,I was a little surprised when I got to the gym this morning. It was not packed as usual,I was surprised when I got to the gym this morning. It was not packed as usual,were you able to make use of all the equipment,1,1,1
1539,hit:10400_conv:20800,sentimental,when she talked about her feelings i was very emotional,a young girl_comma_ crying_comma_ sadden by the cruelity of our elders_comma_ told me about all these feelings i began to cry and became very sentimental,....what feelings? what are you talking about,1,1,1
1540,hit:9353_conv:18706,ashamed,I am embarrassed that I skipped school to go to the concert.,I am embarrassed that I skipped school to go to the concert.,eh its worth it tho,1,1,1
1550,hit:236_conv:473,disappointed,My boss called to tell me that I would be receiving a package the next day_comma_ and that I should call her before opening it.  I was really hoping that it was a special award that my company gives to deserving employees_comma_ but it turned out to be some personnel paperwork that she needed to go over with me. ,My boss called me the other day to tell me I would be receiving a package the next day.  No other info_comma_ but she told me not to open it until I called her.,So have you gotten to open it yet??,1,1,1
1563,hit:7951_conv:15903,ashamed,I kicked a pigeon that was on sidewalk as I was walking by. I hate those thiings. ,I kicked a pigeon that was on sidewalk as I was walking by.,Umm..did you MEAN to kick it?,1,1,1
1564,hit:5850_conv:11701,jealous,I felt bad seeing a guy talking to my girl friend ,I was so lucky I met them together having dinner in a restaurant in town,Well at least you found out easily.,1,1,1
1585,hit:4106_conv:8212,jealous,I had to sit in a flight with crying baby,I agree_comma_ i wanted to throw the baby off the airplane.,if you were on the other end you wouldn,1,1,1
1601,hit:10699_conv:21398,excited,I'm so ready for football season.,I am so ready for football season,American football or soccer?,1,1,1
1607,hit:7440_conv:14881,jealous,A co-worker of mine got a promotion over me.,Yeah_comma_ find a new job.,You should get on that soon.,1,1,1
1608,hit:3187_conv:6375,surprised,This bird chased my cat on our walk.,Nah. He is a pussy.,That is somewhat offensive.,1,1,1
1613,hit:1116_conv:2233,hopeful,I know the year will get better.,I know the year will get better.,Oh really? What makes you say that,1,1,1
1626,hit:762_conv:1525,embarrassed,I was standing in a lift yesterday morning and a guy standing next to me just looked curiously to me. I was confused and then he slowly whispered in my ears that your zip is open please close it without anyone noticing it. ,It was just very creepy situation,Yeah whispering in someones ear is weird,1,1,1
1643,hit:9732_conv:19464,hopeful,I meeting with my boss tommorrow. I really am praying for a raise!,I am meeting with my boss tommorrow.,how come? is everything alright?,1,1,1
1650,hit:530_conv:1061,disappointed,I saw a mother spanked her 4 years old son so hard that he felt on his face ,Oh yes_comma_ i saw her at the park. I cannot believe someone can do that to her son,Hitting kids is kind of going out of style. People do timeout more now.,1,1,1
1662,hit:1749_conv:3499,disappointed,I watched a movie that looked really good on the trailer but I didn't like it at all.,I do not want to say because I feel like everybody should judge for themselves.,Well thanks for nothing lol,1,1,1
1672,hit:9762_conv:19525,embarrassed,Third day of school and we were so late. I felt terrible,MY car quit and I had to wait for a ride. I was so embarassed,that is not in your control!,1,1,1
1681,hit:4466_conv:8932,apprehensive,Me and some friends got invited to this shady college party. We were hesitant to go but we did and it was great.,Me and my friends got invited to this shady looking party in college. We were hesitant to go but we did anyway.,That sounds very mysterious.,1,1,1
1695,hit:6450_conv:12901,embarrassed,I spent the whole day with the fly of my pants unzipped and didn't even realize it.,So I spent the whole day at work with the fly of my pants unzipped and did not even realize it.,OMG. Did anyone else notice?,1,1,1
1699,hit:5613_conv:11226,anxious,I have my math final tomorrow. Never been so nervous.,I have my math final tomorrow and I am so nervous about it.,Did you at least study?,1,1,1
1701,hit:7285_conv:14570,apprehensive,I made a mistake at work. My manager have set a meeting to talk about it. I am a little bit worried.,I do not know. My manager seemed a little bit angry.,ah well good luck,1,1,1
1706,hit:6155_conv:12311,anticipating,I cannot wait for the newest Pokemon game_comma_ it looks amazing to me!,I cannot wait for the newest Pokemon game_comma_ it looks amazing to me!,Those games do seem fun,1,1,1
1714,hit:4278_conv:8556,furious,Can you believe my car broke down!,on the side of the road!,What did you call to get towed?,1,1,1
1722,hit:5196_conv:10392,jealous,My neighbor_comma_ who I've lived near for eight years_comma_ just got a brand new boat. We're alright friends_comma_ and we get along well_comma_ and I don't usually have any negative feelings towards him. But I can't help but feeling like he's better than me after he's gotten a boat.,Yeah_comma_ I know. But since we have lived near each other for a long time and have had similar lives_comma_ I cannot help comparing myself to him.,I can get that sometimes,1,1,1
1724,hit:2362_conv:4724,embarrassed,I once walked out in my underwear not knowing I did not have pants on!,I was so concerned about getting to work I forgot to throw them on_comma_ I was so in shock_comma_ even the neighbors saw. It was bad.,Yeah_comma_ it sounds that way.,1,1,1
1731,hit:4124_conv:8249,terrified,I almost stepped on a snake today.,Me too. It was venemous.,Wow. What kind was it?,1,1,1
1734,hit:2521_conv:5042,lonely,My boyfriend left town a couple of days ago and he won't be back for over a week. It is so quiet here and there's nothing to do.,I do not know what to do. It is so quiet here and nothing to do.,that sucks,1,1,1
1737,hit:8711_conv:17423,joyful,My best friend is coming to visit me.  I am so happy to see her.,My best friend is coming to visit me.,ok,1,1,1
1746,hit:3596_conv:7192,hopeful,I am very hopeful to go on vacation this summer,I hope that this summer I can go to Florida with my family,Wait_comma_ summers already over? Next summer?,1,1,1
1750,hit:6246_conv:12492,afraid,I am a bit scared for the weekend to come. I don't know what will happen between me and another person and I hate the unknown.,I am a bit scared for the weekend to come. ,What is happening this weekend?,1,1,1
1783,hit:9889_conv:19779,guilty,Didn't tip my bar waitress last weekend,Got a little too drunk then I forgot to tip my waitress.  I felt so bad.,She will not remember that for much longer.,1,1,1
1785,hit:4710_conv:9421,sad,I was sad when my dog died,Its ok. It is just been rough without him. I miss him,Was he sick before?,1,1,1
1797,hit:4616_conv:9233,furious,Yesterday_comma_ someone has stolen my bike. It was in front of my home with a lock.,I went to the police but I feel that they are useless.,They are sometimes,1,1,1
1804,hit:640_conv:1281,jealous,I sometimes feel jealous when other guys talk to my girlfriend.,I find it frustrating when jealousy kicks in.,Jealousy is the root of hatred_comma_too bad,1,1,1
1815,hit:4614_conv:9229,proud,After pushing my little brother through out the years in school he graduated with a 3.2 this May!,he really was motivated in highsool  high school ,I was too,1,1,1
1834,hit:439_conv:878,guilty,I went into my cousins kitchen and drank all his beer.,So last night I snuck into the kitchen at my cousins house.,I hope they are good cooks.,1,1,1
1843,hit:5829_conv:11659,afraid,I kept hearing odd sounds at night... I think there is a racoon in the attic!,I keet hearing odd sounds at night... I think there is a racoon in the attic!,I think it is time to call the animal protection unit,1,1,1
1862,hit:5685_conv:11371,angry,These kids keep riding their bikes through my lawn! They've killed every one of my flowers!,The kids next door keep riding my bikes through my yard. I asked them to stop but they just laughed at me.,Where are their parents?,1,1,1
1867,hit:8167_conv:16334,devastated,i was crushed when i saw someone had taken my lunch from the fridge at work,no i did not,You should make a sign that says something about your lunch on it?,1,1,1
1878,hit:87_conv:174,nostalgic,I saw that they are going to remake a movie I like a lot.,It is a old movie that came out in the 80s. I remember seeing it as a kid!,Oh is it and action movie.,1,1,1
1894,hit:11836_conv:23673,embarrassed,I tripped over someone the other day,i apologized and wanted to die,what the what? why it is not such a big deal_comma_ it happens everyday,1,1,1
1905,hit:1390_conv:2781,nostalgic,I sure do miss the good old days of my childhood.,You going somewhere ?,4,1,1,1
1908,hit:5031_conv:10062,furious,I was furious to hear that my dental bill was three times of what I was expecting!,I was furious today when I heard my dental bill was going to be three times more than what I expected!,oh no. that is horrible,1,1,1
1916,hit:1309_conv:2618,proud,I once entered a card game tournament and came in first place. I know it's a small achievement_comma_ but I felt great.,Man_comma_ I really enjoy playing card games. I used to play in tournaments and compete_comma_ but that was a long time ago.,I love card games also.,1,1,1
1924,hit:10768_conv:21536,terrified,I drove past a lonely road where is a hideout for criminals,"I drove past a lonely road where is a hideout for criminals"".",Did you feel scared?,1,1,1
1935,hit:4627_conv:9255,nostalgic,I remember when I was a kid and in the summertime I used to catch fireflies and place them in a jar by my bedside at night.,The fireflies would blink in the jar all night long.,Yes I did that too,1,1,1
1937,hit:778_conv:1557,nostalgic,I went roller skating with my daughter and it brought me right back to my childhood.,I took my daughter roller skating for the first time recently and I was taken right back to my childhood. All I could think about was spending my Friday nights as a kid at the roller rink!,wow nostalgic. Wish you had time machine..,1,1,1
1964,hit:1709_conv:3418,grateful,I am so thankful for my time with my grandma,We like to sit and talk about everything,Is she still alive?,1,1,1
1975,hit:4001_conv:8003,impressed,Someone cooks a fancy meal,I went to the fanciest dinner party the other night. It was  eight amazing courses of food!,What kind of food was there?,1,1,1
1992,hit:10016_conv:20033,content,I have everything I have ever wanted in life right now. I don't want anything to change.,I have everything I have ever wanted.,That must be a great feeling.,1,1,1
2013,hit:6813_conv:13626,sad,My girlfriend broke up with me recently. Things just didn't seem to work out,We drifted apart it seems,That is hard! Relationships are hard work.,1,1,1
2018,hit:128_conv:256,proud,I got to a really high level in a video game.,I play some competitive video games and I think I am pretty good at one of them.,I love to play Madden.,1,1,1
2019,hit:6297_conv:12594,guilty,My wife asked me to clean the house while she was away for a few days and I ended up wasting my time playing video games instead.,My wife wanted me to clean the house while she was away for a few days and I ended up spending my free time playing video games instead. She was so pissed off when she got back. I feel terrible.,HAHA that sounds just like my husband!,1,1,1
2050,hit:5521_conv:11043,confident,I have felt this way while preparing for grad school.,School Psychology_comma_ I want to be a counselor.,We need you. Hang in there.,1,1,1
2052,hit:1572_conv:3144,guilty,I had plans with my friend to go to dinner_comma_ but I chose to stay at work to make more money.,No. She is not taking my calls currently.,Maybe you can make it up to them.,1,1,1
2068,hit:6208_conv:12416,disappointed,My girlfriend said no_comma_ when I asked her to marry me.,She said she is just not ready.,Are you still with her?,1,1,1
2072,hit:11957_conv:23914,furious,My 15 year old son took my ferrari out for a test drive and crashed it.  I only have three more of those!,My 15 year old son took my ferrari out for a test drive and crashed it.,I hope you had insurance.,1,1,1
