id,conv_id,context,prompt,evaluation,empathetic_intent,speaker_utterance,listener_utterance,speaker_sentiment,listener_sentiment,predictions_ER,predictions_IP,predictions_EX
33,hit:7503_conv:15007,jealous,My neighbor just got a new pool installed. I wanted to get one but I couldn't afford it.,5.0,1,Oh me too_comma_ I wanted to get a pool and even described what I wanted to her and then she goes and gets one before me!,Wow! That is kind of messed up!,neutral,negative,0,0,0
34,hit:1059_conv:2119,disappointed,My family has fallen on hard times. We got to the point that we couldn't catch up on our car note. One day the tow company came and hauled it away. I felt really let down and didn't know what I should do.,4.0,6,When we lost our car I felt lost. How do you put your life back together without transportation.,oh how sad_comma_ how did you lose your car?. Public transportation is not every one's cup of tea..,negative,negative,2,0,2
35,hit:1059_conv:2119,disappointed,My family has fallen on hard times. We got to the point that we couldn't catch up on our car note. One day the tow company came and hauled it away. I felt really let down and didn't know what I should do.,4.0,3,My husband lost his job and we got behind. We also live in a rural area about 15 minutes from town and an hour to the closest big city.,you guy's will get back everything you have lost. It is difficult for travel as you said,negative,negative,1,0,0
36,hit:6171_conv:12343,sentimental,I miss being a kid. I saw a show on tv that reminded me of that,5.0,0,I miss being a kid. I saw a tv show today that made me think about that,Yes_comma_ I understand! Life is easier as a kid.,negative,positive,1,2,0
37,hit:6171_conv:12343,sentimental,I miss being a kid. I saw a show on tv that reminded me of that,5.0,8,It really was_comma_ I miss it,Same sometimes_comma_ But I enjoy the freedom and indepence of being an adult.,neutral,positive,0,2,0
38,hit:4726_conv:9452,apprehensive,I got asked to go on a cruise but_comma_ I'm not sure if I should.,3.0,6,I got asked to go on a cruise but_comma_ I'm not sure if I should.,Cruises are fun. What is the problem?,negative,neutral,0,0,1
39,hit:4726_conv:9452,apprehensive,I got asked to go on a cruise but_comma_ I'm not sure if I should.,3.0,1,Do I really want to spend two weeks in a room with someone I don't know really really well?,Two weeks is a long time.,negative,neutral,0,1,0
40,hit:4726_conv:9452,apprehensive,I got asked to go on a cruise but_comma_ I'm not sure if I should.,3.0,8,Indeed it is,I wouldnt risk it,neutral,neutral,0,0,0
41,hit:5782_conv:11565,ashamed,cheating on my wife,2.0,6,i i feel lower than dirt after betraying my wifes trust,how did that happen,negative,neutral,0,0,1
42,hit:5782_conv:11565,ashamed,cheating on my wife,2.0,1,i was being unfaithful,ah well that would be a good reason then,negative,positive,0,0,0
43,hit:9990_conv:19980,excited,I can't even fall asleep waiting to go on our vacation.,5.0,4,I doubt I will get any sleep waiting for tomorrow.,I'm sorry to hear. Why is that?,negative,negative,2,0,1
44,hit:9990_conv:19980,excited,I can't even fall asleep waiting to go on our vacation.,5.0,1,I am finally getting to take the kids to Disneyland!,Oh_comma_ well that is a fine thing indeed! I would be jumping up and down!,positive,positive,0,0,0
45,hit:7489_conv:14978,devastated,My daughter had the sweetest little hamster. One day she went to feed it and it had died_comma_ she was crushed.,5.0,6,My daughter had the sweetest little hamster.,Aww_comma_ I love hamsters! What kind of a hamster was it?,positive,positive,0,0,2
46,hit:7489_conv:14978,devastated,My daughter had the sweetest little hamster. One day she went to feed it and it had died_comma_ she was crushed.,5.0,6,It was a teddy bear hamster. One day she went to feed it and it had died_comma_ she was crushed.,That's horrible. Is she doing okay now?,negative,negative,1,0,2
47,hit:134_conv:269,angry,I felt very angry when a co-worker of mine pretended he was in a car accident to get out of working July 4th. I worked to midnight for him to only find out he was faking it. I was furious,3.0,1,I was very angry when a co worker lied about a car accident to get out of working July 4th. I covered his shift till midnight and he was lying about the accident,That isn't very nice.,negative,negative,0,0,0
48,hit:134_conv:269,angry,I felt very angry when a co-worker of mine pretended he was in a car accident to get out of working July 4th. I worked to midnight for him to only find out he was faking it. I was furious,3.0,0,Yeah he got caught in someones pics on Facebook. Never lie and then go out with people who like to take pictures.,Yes. I do not have a Facebook.,neutral,neutral,0,0,0
49,hit:4707_conv:9414,sad,My wife has been out of the country for a couple months for school. Dropping her off at the airport was really tough.,5.0,6,My wife has been out of the country for school for a while. Dropping her off at the airport was really hard.,Do you guys get to talk a lot?,negative,neutral,0,0,0
50,hit:4707_conv:9414,sad,My wife has been out of the country for a couple months for school. Dropping her off at the airport was really tough.,5.0,1,Yeah_comma_ we talk by text all the time and call every day. It's still hard though_comma_ we haven't been apart longer than a couple days since we met.,Getting through it can only make your relationshipi stronger though,neutral,positive,0,0,0
51,hit:469_conv:939,nostalgic,Whenever I hear certain songs_comma_ it brings back so many memories. Mostly of when I was young and dumb staying up late with friends.,5.0,8,Have you ever heard a song on the radio and it just takes you back to a different time? Like an escape?,All the time. That is part of listening to music I suppose. The songs remind you of when you first heard them.,neutral,neutral,0,1,0
52,hit:469_conv:939,nostalgic,Whenever I hear certain songs_comma_ it brings back so many memories. Mostly of when I was young and dumb staying up late with friends.,5.0,0,Yeah_comma_ I guess that's fair. It happens all the time to me too. Sometimes makes me wish I was reliving those moments but I don't think I would really want to go back..,I know what you mean. However_comma_ the older I get the more I want to go back LOL.,negative,positive,1,2,0
53,hit:3410_conv:6820,angry,I was so mad when my mom wanted to divorce my dad. I thought she was crazy,5.0,8,I was pretty angry when my mom wanted to divorce my dad. I thought she was crazy,ooooh thats so bad what happened,negative,negative,0,0,1
54,hit:3410_conv:6820,angry,I was so mad when my mom wanted to divorce my dad. I thought she was crazy,5.0,4,They stayed together_comma_ but it wasnt the same,sorry now how is the situation,neutral,neutral,0,0,1
55,hit:1528_conv:3056,surprised,My father is visiting me!,5.0,6,My father dropped in unexpectedly_comma_ I hadn't seen him in 3 years!,That's awesome! Did you guys do anything?,negative,positive,1,0,2
56,hit:1528_conv:3056,surprised,My father is visiting me!,5.0,1,We went to my favorite cafe!,Nice! I hope you guys did a lot of catching up!,positive,positive,1,0,0
57,hit:1618_conv:3237,annoyed,My father in law is coming to visit for a whole week! He will be staying at our house. I am dreading it so much.,5.0,6,My father in law is coming to visit for a whole week and staying at our house!,That's awesome! How long has it been since you've seen him?,neutral,positive,1,0,2
58,hit:1618_conv:3237,annoyed,My father in law is coming to visit for a whole week! He will be staying at our house. I am dreading it so much.,5.0,3,Not long enough! I am totally dreading it. He does not like me and he is so rude.,Oh_comma_ that sucks then. I hope you guys get along and squash beef?,negative,negative,1,0,0
59,hit:9482_conv:18964,embarrassed,Waiting in the line for my driving license documents to be signed by the official at DPS_comma_ I accidentally fell to the ground. It was so embarrassing,5.0,6,This last Saturday_comma_ I was waiting in the line for the official to sign my driving license documents at DPS. I don't know how_comma_ but i suddenly fell to the ground as if my legs stopped working. It was so embarrassing as there were many people,These people are not people you see everyday. I wouldnt worry about it,negative,negative,1,0,0
60,hit:9482_conv:18964,embarrassed,Waiting in the line for my driving license documents to be signed by the official at DPS_comma_ I accidentally fell to the ground. It was so embarrassing,5.0,8,You are right_comma_ but still i felt like being humiliated in front of these people. Emotional sting would not let me stand still as if nothing happened,Watch some youtube videos of other peoples misfortunes so you can forget about yours quickly!,negative,neutral,0,0,0
61,hit:3611_conv:7222,terrified,I saw a horror film last night. It was so scary!,5.0,6,The horror film I saw last night can cause nightmares. It was so scary!,I know how you feel! What did you watch?,negative,neutral,1,0,1
62,hit:3611_conv:7222,terrified,I saw a horror film last night. It was so scary!,5.0,1,I ended up watching The Ring! It was ridiculousness.,It is a pretty good horror.,negative,positive,0,0,0
63,hit:11103_conv:22207,joyful,One time I had to give a presentation in order to get my master's degree. It was very stressful but I passed and was able to graduate,5.0,1,I had to do a research project and present it to my professors to graduate. Thankfully I passed!,You must have worked hard for that! I'm sure it's great and you'll pass with a flying color!,positive,positive,1,0,0
64,hit:11103_conv:22207,joyful,One time I had to give a presentation in order to get my master's degree. It was very stressful but I passed and was able to graduate,5.0,1,I worked many long hours. It was stressful but I'm happy to have done well,Yeah_comma_ such a relief to get a huge project done. You must feel proud!,positive,positive,1,0,0
65,hit:1235_conv:2471,afraid,I live in a bad neighborhood and sometimes walking is dangerous- The other night when I was walking someone was following me,4.0,6,I am not in the best city and walking around the other night for a nice walk- someone kept following me.,What city are in right now?,negative,neutral,0,0,2
66,hit:1235_conv:2471,afraid,I live in a bad neighborhood and sometimes walking is dangerous- The other night when I was walking someone was following me,4.0,8,In a city in michigan. One of the top dangerous cities in the USA,Oh well_comma_ be carreful.Make sure nobody is following you.,negative,negative,0,0,0
67,hit:9884_conv:19768,caring,My dog saw this cat being chase and scared the other dog away.,5.0,1,My dog saw this cat being chase and scared the other dog away,Wow_comma_ your dog is that cat's hero!,neutral,positive,0,0,0
68,hit:9884_conv:19768,caring,My dog saw this cat being chase and scared the other dog away.,5.0,1,For sure. The cat licked her.,I bet your dog is pretty smart. I mean she was able to notice a cat in danger and helped out and all.,negative,positive,0,0,0
69,hit:1187_conv:2375,embarrassed,We were recently at a concert and my son had an accident.,1.0,1,I was at a Journey concert with my son and he had to go to the bathroom while they were switching out performers.,I would love that show,negative,positive,0,2,0
70,hit:1187_conv:2375,embarrassed,We were recently at a concert and my son had an accident.,1.0,5,It was a very good show_comma_ but the people were so rude. We had to squeeze through a crazy crowd and didn't make it to the bathroom in time.,Oh well_comma_ it happens,negative,neutral,0,0,0
71,hit:5616_conv:11233,prepared,I am planning a surprise party for my brother. I bought everything I need already like balloons_comma_ food_comma_ and gifts to throw the best party imaginable!,5.0,1,I'm planning a surprise party for my brother. I already have all the supplies ready to throw a bash!,I wouldn't be able to keep a surprise like that!,positive,negative,0,0,0
72,hit:5616_conv:11233,prepared,I am planning a surprise party for my brother. I bought everything I need already like balloons_comma_ food_comma_ and gifts to throw the best party imaginable!,5.0,1,Yeah_comma_ I have all the balloons_comma_ food and gifts stashed in my basement!,Sounds like you're ready to go!,neutral,positive,1,0,0
73,hit:6422_conv:12845,prepared,i have an exam in september,5.0,6,i have an exam in the next month and am prepared for it,That's good! I guess you studied a lot?,positive,positive,0,0,2
74,hit:6422_conv:12845,prepared,i have an exam in september,5.0,1,yah_comma_ been studying for a while now.,That's good. I am sure you will do great on it.,neutral,positive,1,0,0
75,hit:2586_conv:5173,nostalgic,I found my old elementary school a while ago. It was going to be torn down soon_comma_ so I walked through it_comma_ remembering my childhood.,5.0,6,Man I had an absolute blast from the past last week.,Really? What happened?,positive,negative,0,0,1
76,hit:2586_conv:5173,nostalgic,I found my old elementary school a while ago. It was going to be torn down soon_comma_ so I walked through it_comma_ remembering my childhood.,5.0,6,I found my old elementary school. I hear it was going to be torn down next month_comma_ so I toured the inside.,Wow_comma_ cool! Did they let you in? It's so cool you had that opportunity.,neutral,positive,2,0,2
77,hit:3351_conv:6702,content,I'm on a week long vacation from work. It's quite relaxing!,5.0,6,I'm on a week long vacation from work,I bet that is really enjoyable. Are you going anywhere fun?,neutral,positive,0,0,2
78,hit:3351_conv:6702,content,I'm on a week long vacation from work. It's quite relaxing!,5.0,1,Yup_comma_ tomorrow I pack up for a cruise. It's going to be very relaxing!,Have fun! That sounds like a great time.,positive,positive,1,0,0
79,hit:5599_conv:11199,guilty,I ate the last ramen we had.,4.0,6,I ate the last ramen we had.,Are you in trouble?,neutral,neutral,0,0,1
80,hit:5599_conv:11199,guilty,I ate the last ramen we had.,4.0,8,I may be_comma_ but I think my roomie is pretty cool.,Well they can be_comma_ but make sure you buy it next time. Ramen is super cheap :),positive,positive,0,0,0
81,hit:670_conv:1340,proud,I just finished my first 5K,2.0,1,I can't believe I just finished my first running race!,Well done_comma_ you must be very proud of yourself.,positive,positive,1,0,0
82,hit:670_conv:1340,proud,I just finished my first 5K,2.0,1,Yes_comma_ I am. About 3 months ago I couldn't run for a minute.,Well done_comma_ great job.,negative,positive,1,0,0
83,hit:324_conv:648,content,I am ok with being average in life.,5.0,6,I am ok with being average.,I don't think there is anything wrong with average.,neutral,neutral,0,0,0
84,hit:324_conv:648,content,I am ok with being average in life.,5.0,7,I agree. Average is good.,We are all average until circumstances require us to be extraordinary.,positive,neutral,0,0,0
85,hit:3661_conv:7323,jealous,There is this single guy and I wanted my friend to fix me up on a date with him = but she ended up fixing up another friend with him and now they are serious together.,4.0,6,There was a guy I liked and my friend knew it but she set him up with our other friend instead!,What a mean friend person. Did you get mad?,neutral,negative,0,0,2
86,hit:3661_conv:7323,jealous,There is this single guy and I wanted my friend to fix me up on a date with him = but she ended up fixing up another friend with him and now they are serious together.,4.0,1,I was really upset especially since they are seriously dating now and I have to see them everywhere!,That could have been you..,negative,neutral,0,0,0
87,hit:3661_conv:7323,jealous,There is this single guy and I wanted my friend to fix me up on a date with him = but she ended up fixing up another friend with him and now they are serious together.,4.0,5,yes_comma_ true_comma_ but there's probably someone out there better than him!,Maybe..,neutral,neutral,0,0,0
88,hit:12085_conv:24170,confident,I've got,3.0,8,I start a new job on monday. I'm sure I'll do great.,I feel sure as well_comma_ you are clearly determined and intentional.,positive,positive,0,0,0
89,hit:12085_conv:24170,confident,I've got,3.0,8,Yep and it pays better on top of that.,That's the beauty of it_comma_ I feel motivated now so I need to keep an eye out on my local job market.,positive,positive,0,0,0
90,hit:9098_conv:18197,afraid,i was scared walking home alone last night,5.0,6,i was scared walking home alone last night,Oh no. No one available to walk you part way or anything?,negative,negative,0,0,2
91,hit:9098_conv:18197,afraid,i was scared walking home alone last night,5.0,6,no i had to walk home in the dark alone,Did anything happen?,negative,neutral,0,0,1
92,hit:3694_conv:7389,proud,I am a father of 3 lovely girls,5.0,4,I am a proud father of 3 lovely girls,Really sorry to be slow to respond. How old are your girls?!,positive,negative,2,0,2
93,hit:3694_conv:7389,proud,I am a father of 3 lovely girls,5.0,1,That's alright_comma_ they are 8 years old and they are triplets :),Wow! That's amazing. It must be so awesome that they have each other to hang out and have fun with.,positive,positive,1,0,0
94,hit:10857_conv:21715,sad,I lost my cat. It just disappeared one day and I can't find her.,4.0,6,I lost my cat and can't find her. She just disappeared one day and I don't know where she is.,have you called any rescue center yet?,negative,neutral,0,0,2
95,hit:10857_conv:21715,sad,I lost my cat. It just disappeared one day and I can't find her.,4.0,2,Yes and they said they have no record of a cat that matches her description. I miss her terribly.,Lets hope it will trace the house back,negative,neutral,0,0,0
96,hit:1562_conv:3125,surprised,I went to register my daughter for school today and the place was empty!,4.0,6,I went to register my youngest daughter for school today.,Was it stressful?,neutral,neutral,0,0,2
97,hit:1562_conv:3125,surprised,I went to register my daughter for school today and the place was empty!,4.0,6,It maybe would have been if anyone was at the school. I really don't want her to go there but the private school had too long of a waiting list for this year.,They school was locked up? I can't imagine. My first born is due in December and i'm all ready stressed about school.,negative,negative,0,2,0
98,hit:1562_conv:3125,surprised,I went to register my daughter for school today and the place was empty!,4.0,6,It was open and they just left flyers. I don't even know who my childs teacher is. The public schools here are trash.,Wow_comma_ that sounds like where I went. Have you considered a charter school?,negative,neutral,0,2,2
99,hit:1562_conv:3125,surprised,I went to register my daughter for school today and the place was empty!,4.0,1,I'm going to get her in the private school my oldest went to. It will be fine she is only ine pre k now.,I would be scared. They are so impressionable at that age.,positive,negative,0,2,0
100,hit:8563_conv:17126,hopeful,I'm asking my girlfriend to marry me this weekend.,5.0,6,I'm asking my girlfriend to marry me this weekend.,wow. congratualations. do you think she is expecting it?,neutral,neutral,0,0,2
101,hit:8563_conv:17126,hopeful,I'm asking my girlfriend to marry me this weekend.,5.0,6,She has no idea!,what is the plan?,negative,neutral,0,0,1
102,hit:5578_conv:11156,sentimental,i just went to a wedding this weekend_comma_ it was very emotional.,5.0,6,i just went to a wedding this weekend_comma_ it was very emotional.,They usually are. Who's wedding did you go to?,neutral,neutral,0,0,2
103,hit:5578_conv:11156,sentimental,i just went to a wedding this weekend_comma_ it was very emotional.,5.0,8,it was my cousin's_comma_ it was intense because i grew up with him you know.,Of course! I'm sure he appreciated you being there!,positive,positive,1,0,0
104,hit:9681_conv:19363,prepared,Took a friend home after he was done with work. He forgot his umbrella in my car a while back and it started to rain hard. Gave him his umbrella back and smiled as he got into his house dry.,4.0,6,So i was taking a friend home from work one day and it started to rain as we got to his place. Like a down pour.,Did he get soaked?,neutral,neutral,0,0,2
105,hit:9681_conv:19363,prepared,Took a friend home after he was done with work. He forgot his umbrella in my car a while back and it started to rain hard. Gave him his umbrella back and smiled as he got into his house dry.,4.0,1,Nope because the umbrella he forgot a while back was in my car.,That's good,neutral,positive,0,0,0
106,hit:8693_conv:17386,disgusted,Ate some fried eggplant the other night,5.0,6,Oh man. The other night I did something GROSS,Uh oh_comma_ what did you do?,negative,neutral,0,0,1
107,hit:8693_conv:17386,disgusted,Ate some fried eggplant the other night,5.0,6,I ate some nasty mushy eggplant for dinner!!!,Ew_comma_ that does sound gross. Was it some sort of bet or that's all you had?,negative,negative,0,0,2
108,hit:10579_conv:21159,prepared,My husband and I were going camping and he forgot his overnight bag. Luckily_comma_ I had grabbed it for him,5.0,8,Went camping with my husband and he forgot to grab his overnight bag. Luckily_comma_ I had a list and made sure to grab it for him.,That's great that you were able to anticipate his needs. I try to do the same for my husband.,positive,positive,1,2,0
109,hit:10579_conv:21159,prepared,My husband and I were going camping and he forgot his overnight bag. Luckily_comma_ I had grabbed it for him,5.0,5,They would be lost without us I think!,Yes_comma_ I think so too.,negative,neutral,0,2,0
110,hit:6028_conv:12057,disgusted,I found a long grey hair in my sand witch this afternoon when I went out to lunch. It was gross.,5.0,6,I found a long grey hair in my sand witch this afternoon when I went out to lunch.,Was it yours?,neutral,neutral,0,0,1
111,hit:6028_conv:12057,disgusted,I found a long grey hair in my sand witch this afternoon when I went out to lunch. It was gross.,5.0,4,No_comma_ that's what makes it so gross. Must have been a workers.,Eww. Im sorry about that. That would have ruined my lunch quickly,negative,negative,2,2,0
112,hit:6063_conv:12127,annoyed,i was pissed ofby my friend,5.0,8,He simply accused me of stealing from him_comma_weve been friends for like 10 years now,that is awful_comma_ why did he do that,neutral,negative,0,0,1
113,hit:6063_conv:12127,annoyed,i was pissed ofby my friend,5.0,6,dont know why,did you tell him the truth?,neutral,neutral,0,0,2
114,hit:6265_conv:12531,sad,I got really upset when I had to move away from my childhood home. all my memories were there.,3.0,0,I really miss my old house sometimes,I know the feeling. Why did you move,negative,negative,1,0,2
115,hit:6265_conv:12531,sad,I got really upset when I had to move away from my childhood home. all my memories were there.,3.0,3,It was my childhood home. all my memories were there. I was quite upset when we moved away,That sucks. I hope we never sell my grandmas home. Too many memories,neutral,negative,0,0,0
116,hit:7046_conv:14093,sentimental,I spent time folding up all of my daughter's old dance shirts today. Makes me remember when she first started dance at age 2_comma_ she'll turn 16 next month.,4.0,6,I spent time today folding up all of my daughter's dance shirts from the time she was 2 years old.,That sounds very nostalgic. How old is she now?,neutral,positive,0,0,2
117,hit:7046_conv:14093,sentimental,I spent time folding up all of my daughter's old dance shirts today. Makes me remember when she first started dance at age 2_comma_ she'll turn 16 next month.,4.0,8,She will be 16 next month - time flies doesn't it?,It is indeed. I wish i could back to my childhood times. No hassle_comma_ no stress of paying bills. Adulthood is really difficult,neutral,negative,0,2,0
118,hit:4759_conv:9519,jealous,I wish I could afford all the nice things others have around me,1.0,1,I wish I could afford all the material items people have around me,like what kind,neutral,neutral,0,0,1
119,hit:4759_conv:9519,jealous,I wish I could afford all the nice things others have around me,1.0,6,Fancy cars_comma_ clothes_comma_ and just peace of mind to swipe a card and not have stress,dont we all,positive,neutral,0,0,0
120,hit:1556_conv:3112,furious,I was supposed to be off work 3 hours ago. I'm still here.,3.0,6,I was supposed to be off work 3 hours ago. I'm still here,Are you working while you are at work?,neutral,neutral,0,0,2
121,hit:1556_conv:3112,furious,I was supposed to be off work 3 hours ago. I'm still here.,3.0,8,hahaha yea. Might as well do something instead of sitting around waiting on this shipment.,Smart man smart man.,neutral,positive,1,0,0
122,hit:879_conv:1758,ashamed,I feel horrible. I cheated on my husband last night.,3.0,3,I feel horrible. I cheated on my husband last night.,You continues a series on Netflix I hope and not the other thing,negative,neutral,0,0,0
123,hit:879_conv:1758,ashamed,I feel horrible. I cheated on my husband last night.,3.0,6,I feel awful I shouldn't have done it.,You shouldn't have. What happened?,negative,negative,0,0,1
